Date,Monthly Close
01/03/50,17.05
02/01/50,17.22
03/01/50,17.29
04/03/50,17.96
05/01/50,18.78
06/01/50,17.69
07/03/50,17.84
08/01/50,18.42
09/01/50,19.45
10/02/50,19.53
11/01/50,19.51
12/01/50,20.43
01/02/51,21.66
02/01/51,21.80
03/01/51,21.48
04/02/51,22.43
05/01/51,21.52
06/01/51,20.96
07/02/51,22.40
08/01/51,23.28
09/04/51,23.26
10/01/51,22.94
11/01/51,22.88
12/03/51,23.77
01/02/52,24.14
02/01/52,23.26
03/03/52,24.37
04/01/52,23.32
05/01/52,23.86
06/02/52,24.96
07/01/52,25.40
08/01/52,25.03
09/02/52,24.54
10/01/52,24.52
11/03/52,25.66
12/01/52,26.57
01/02/53,26.38
02/02/53,25.90
03/02/53,25.29
04/01/53,24.62
05/01/53,24.54
06/01/53,24.14
07/01/53,24.75
08/03/53,23.32
09/01/53,23.35
10/01/53,24.54
11/02/53,24.76
12/01/53,24.81
01/04/54,26.08
02/01/54,26.15
03/01/54,26.94
04/01/54,28.26
05/03/54,29.19
06/01/54,29.21
07/01/54,30.88
08/02/54,29.83
09/01/54,32.31
10/01/54,31.68
11/01/54,34.24
12/01/54,35.98
01/03/55,36.63
02/01/55,36.76
03/01/55,36.58
04/01/55,37.96
05/02/55,37.91
06/01/55,41.03
07/01/55,43.52
08/01/55,43.18
09/01/55,43.67
10/03/55,42.34
11/01/55,45.51
12/01/55,45.48
01/03/56,43.82
02/01/56,45.34
03/01/56,48.48
04/02/56,48.38
05/01/56,45.20
06/01/56,46.97
07/02/56,49.39
08/01/56,47.51
09/04/56,45.35
10/01/56,45.58
11/01/56,45.08
12/03/56,46.67
01/02/57,44.72
02/01/57,43.26
03/01/57,44.11
04/01/57,45.74
05/01/57,47.43
06/03/57,47.37
07/01/57,47.91
08/01/57,45.22
09/03/57,42.42
10/01/57,41.06
11/01/57,41.72
12/02/57,39.99
01/02/58,41.70
02/03/58,40.84
03/03/58,42.10
04/01/58,43.44
05/01/58,44.09
06/02/58,45.24
07/01/58,47.19
08/01/58,47.75
09/02/58,50.06
10/01/58,51.33
11/03/58,52.48
12/01/58,55.21
01/02/59,55.45
02/02/59,55.41
03/02/59,55.44
04/01/59,57.59
05/01/59,58.68
06/01/59,58.47
07/01/59,60.51
08/03/59,59.60
09/01/59,56.88
10/01/59,57.52
11/02/59,58.28
12/01/59,59.89
01/04/60,55.61
02/01/60,56.12
03/01/60,55.34
04/01/60,54.37
05/02/60,55.83
06/01/60,56.92
07/01/60,55.51
08/01/60,56.96
09/01/60,53.52
10/03/60,53.39
11/01/60,55.54
12/01/60,58.11
01/03/61,61.78
02/01/61,63.44
03/01/61,65.06
04/03/61,65.31
05/01/61,66.56
06/01/61,64.64
07/03/61,66.76
08/01/61,68.07
09/01/61,66.73
10/02/61,68.62
11/01/61,71.32
12/01/61,71.55
01/02/62,68.84
02/01/62,69.96
03/01/62,69.55
04/02/62,65.24
05/01/62,59.63
06/01/62,54.75
07/02/62,58.23
08/01/62,59.12
09/04/62,56.27
10/01/62,56.52
11/01/62,62.26
12/03/62,63.10
01/02/63,66.20
02/01/63,64.29
03/01/63,66.57
04/01/63,69.80
05/01/63,70.80
06/03/63,69.37
07/01/63,69.13
08/01/63,72.50
09/03/63,71.70
10/01/63,74.01
11/01/63,73.23
12/02/63,75.02
01/02/64,77.04
02/03/64,77.80
03/02/64,78.98
04/01/64,79.46
05/01/64,80.37
06/01/64,81.69
07/01/64,83.18
08/03/64,81.83
09/01/64,84.18
10/01/64,84.86
11/02/64,84.42
12/01/64,84.75
01/04/65,87.56
02/01/65,87.43
03/01/65,86.16
04/01/65,89.11
05/03/65,88.42
06/01/65,84.12
07/01/65,85.25
08/02/65,87.17
09/01/65,89.96
10/01/65,92.42
11/01/65,91.61
12/01/65,92.43
01/03/66,92.88
02/01/66,91.22
03/01/66,89.23
04/01/66,91.06
05/02/66,86.13
06/01/66,84.74
07/01/66,83.60
08/01/66,77.10
09/01/66,76.56
10/03/66,80.20
11/01/66,80.45
12/01/66,80.33
01/03/67,86.61
02/01/67,86.78
03/01/67,90.20
04/03/67,94.01
05/01/67,89.08
06/01/67,90.64
07/03/67,94.75
08/01/67,93.64
09/01/67,96.71
10/02/67,93.30
11/01/67,94.00
12/01/67,96.47
01/02/68,92.24
02/01/68,89.36
03/01/68,90.20
04/01/68,97.46
05/01/68,98.68
06/03/68,99.58
07/01/68,97.74
08/01/68,98.86
09/03/68,102.67
10/01/68,103.41
11/01/68,108.37
12/02/68,103.86
01/02/69,103.01
02/03/69,98.13
03/03/69,101.51
04/01/69,103.69
05/01/69,103.46
06/02/69,97.71
07/01/69,91.83
08/01/69,95.51
09/02/69,93.12
10/01/69,97.12
11/03/69,93.81
12/01/69,92.06
01/02/70,85.02
02/02/70,89.50
03/02/70,89.63
04/01/70,81.52
05/01/70,76.55
06/01/70,72.72
07/01/70,78.05
08/03/70,81.52
09/01/70,84.30
10/01/70,83.25
11/02/70,87.20
12/01/70,92.15
01/04/71,95.88
02/01/71,96.75
03/01/71,100.31
04/01/71,103.95
05/03/71,99.63
06/01/71,98.70
07/01/71,95.58
08/02/71,99.03
09/01/71,98.34
10/01/71,94.23
11/01/71,93.99
12/01/71,102.09
01/03/72,103.94
02/01/72,106.57
03/01/72,107.20
04/03/72,107.67
05/01/72,109.53
06/01/72,107.14
07/03/72,107.39
08/01/72,111.09
09/01/72,110.55
10/02/72,111.58
11/01/72,116.67
12/01/72,118.05
01/02/73,116.03
02/01/73,111.68
03/01/73,111.52
04/02/73,106.97
05/01/73,104.95
06/01/73,104.26
07/02/73,108.22
08/01/73,104.25
09/04/73,108.43
10/01/73,108.29
11/01/73,95.96
12/03/73,97.55
01/02/74,96.57
02/01/74,96.22
03/01/74,93.98
04/01/74,90.31
05/01/74,87.28
06/03/74,86.00
07/01/74,79.31
08/01/74,72.15
09/03/74,63.54
10/01/74,73.90
11/01/74,69.97
12/02/74,68.56
01/02/75,76.98
02/03/75,81.59
03/03/75,83.36
04/01/75,87.30
05/01/75,91.15
06/02/75,95.19
07/01/75,88.75
08/01/75,86.88
09/02/75,83.87
10/01/75,89.04
11/03/75,91.24
12/01/75,90.19
01/02/76,100.86
02/02/76,99.71
03/01/76,102.77
04/01/76,101.64
05/03/76,100.18
06/01/76,104.28
07/01/76,103.44
08/02/76,102.91
09/01/76,105.24
10/01/76,102.90
11/01/76,102.10
12/01/76,107.46
01/03/77,102.03
02/01/77,99.82
03/01/77,98.42
04/01/77,98.44
05/02/77,96.12
06/01/77,100.48
07/01/77,98.85
08/01/77,96.77
09/01/77,96.53
10/03/77,92.34
11/01/77,94.83
12/01/77,95.10
01/03/78,89.25
02/01/78,87.04
03/01/78,89.21
04/03/78,96.83
05/01/78,97.24
06/01/78,95.53
07/03/78,100.68
08/01/78,103.29
09/01/78,102.54
10/02/78,93.15
11/01/78,94.70
12/01/78,96.11
01/02/79,99.93
02/01/79,96.28
03/01/79,101.59
04/02/79,101.76
05/01/79,99.08
06/01/79,102.91
07/02/79,103.81
08/01/79,109.32
09/04/79,109.32
10/01/79,101.82
11/01/79,106.16
12/03/79,107.94
01/02/80,114.16
02/01/80,113.66
03/03/80,102.09
04/01/80,106.29
05/01/80,111.24
06/02/80,114.24
07/01/80,121.67
08/01/80,122.38
09/02/80,125.46
10/01/80,127.47
11/03/80,140.52
12/01/80,135.76
01/02/81,129.55
02/02/81,131.27
03/02/81,136.00
04/01/81,132.81
05/01/81,132.59
06/01/81,131.21
07/01/81,130.92
08/03/81,122.79
09/01/81,116.18
10/01/81,121.89
11/02/81,126.35
12/01/81,122.55
01/04/82,120.40
02/01/82,113.11
03/01/82,111.96
04/01/82,116.44
05/03/82,111.88
06/01/82,109.61
07/01/82,107.09
08/02/82,119.51
09/01/82,120.42
10/01/82,133.72
11/01/82,138.53
12/01/82,140.64
01/03/83,145.30
02/01/83,148.06
03/01/83,152.96
04/04/83,164.43
05/02/83,162.39
06/01/83,167.64
07/01/83,162.56
08/01/83,164.40
09/01/83,166.07
10/03/83,163.55
11/01/83,166.40
12/01/83,164.93
01/03/84,163.41
02/01/84,157.06
03/01/84,159.18
04/02/84,160.05
05/01/84,150.55
06/01/84,153.18
07/02/84,150.66
08/01/84,166.68
09/04/84,166.10
10/01/84,166.09
11/01/84,163.58
12/03/84,167.24
01/02/85,179.63
02/01/85,181.18
03/01/85,180.66
04/01/85,179.83
05/01/85,189.55
06/03/85,191.85
07/01/85,190.92
08/01/85,188.63
09/03/85,182.08
10/01/85,189.82
11/01/85,202.17
12/02/85,211.28
01/02/86,211.78
02/03/86,226.92
03/03/86,238.90
04/01/86,235.52
05/01/86,247.35
06/02/86,250.84
07/01/86,236.12
08/01/86,252.93
09/02/86,231.32
10/01/86,243.98
11/03/86,249.22
12/01/86,242.17
01/02/87,274.08
02/02/87,284.20
03/02/87,291.70
04/01/87,288.36
05/01/87,290.10
06/01/87,304.00
07/01/87,318.66
08/03/87,329.80
09/01/87,321.83
10/01/87,251.79
11/02/87,230.30
12/01/87,247.08
01/04/88,257.07
02/01/88,267.82
03/01/88,258.89
04/04/88,261.33
05/02/88,262.16
06/01/88,273.50
07/01/88,272.02
08/01/88,261.52
09/01/88,271.91
10/03/88,278.97
11/01/88,273.70
12/01/88,277.72
01/03/89,297.47
02/01/89,288.86
03/01/89,294.87
04/03/89,309.64
05/01/89,320.52
06/01/89,317.98
07/03/89,346.08
08/01/89,351.45
09/01/89,349.15
10/02/89,340.36
11/01/89,345.99
12/01/89,353.40
01/02/90,329.08
02/01/90,331.89
03/01/90,339.94
04/02/90,330.80
05/01/90,361.23
06/01/90,358.02
07/02/90,356.15
08/01/90,322.56
09/04/90,306.05
10/01/90,304.00
11/01/90,322.22
12/03/90,330.22
01/02/91,343.93
02/01/91,367.07
03/01/91,375.22
04/01/91,375.34
05/01/91,389.83
06/03/91,371.16
07/01/91,387.81
08/01/91,395.43
09/03/91,387.86
10/01/91,392.45
11/01/91,375.22
12/02/91,417.09
01/02/92,408.78
02/03/92,412.70
03/02/92,403.69
04/01/92,414.95
05/01/92,415.35
06/01/92,408.14
07/01/92,424.21
08/03/92,414.03
09/01/92,417.80
10/01/92,418.68
11/02/92,431.35
12/01/92,435.71
01/04/93,438.78
02/01/93,443.38
