Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
,,,,,,,,,,,,,
6-26-87,,,,,,,,,,,,,
7-17-87,,,,,,,,,,,314.59,333.99,321.98
7-24-87,0.36,0.50,0.14,,,,,,,0.22,309.27,335.90,314.86
7-31-87,0.26,0.48,0.26,,,,,,,0.00,318.66,323.04,320.16
8-7-87,0.56,0.15,0.29,,,,,,,0.27,323.00,316.70,328.07
8-14-87,0.45,0.35,0.20,,,,,,,0.25,333.99,321.98,311.07
8-21-87,0.66,0.28,0.06,,,,,,,0.60,335.90,314.86,282.70
8-28-87,0.52,0.18,0.30,,,,,,,0.22,323.04,320.16,248.22
9-4-87,0.42,0.17,0.41,,,,,,,0.01,316.70,328.07,251.79
9-11-87,0.50,0.23,0.27,0.47,,0.24,,0.29,,0.23,321.98,311.07,250.41
9-18-87,0.60,0.29,0.11,0.50,,0.24,,0.27,,0.49,314.86,282.70,245.64
9-25-87,0.53,0.17,0.30,0.53,,0.24,,0.23,,0.23,320.16,248.22,242.00
10-2-87,0.44,0.26,0.30,0.52,,0.24,,0.24,,0.14,328.07,251.79,240.34
10-9-87,0.46,0.39,0.15,0.52,,0.24,,0.25,,0.31,311.07,250.41,223.92
10-16-87,0.37,0.30,0.33,0.48,,0.27,,0.25,,0.04,282.70,245.64,235.32
10-23-87,0.39,0.30,0.31,0.46,,0.27,,0.26,,0.08,248.22,242.00,249.16
10-30-87,0.44,0.23,0.33,0.47,,0.26,,0.27,,0.11,251.79,240.34,252.02
11-6-87,0.47,0.31,0.22,0.46,0.29,0.26,0.25,0.28,0.29,0.25,250.41,223.92,247.08
11-13-87,0.31,0.41,0.28,0.43,0.28,0.28,0.26,0.30,0.28,0.03,245.64,235.32,243.40
11-20-87,0.39,0.42,0.19,0.41,0.28,0.26,0.25,0.33,0.28,0.20,242.00,249.16,252.05
11-27-87,0.27,0.46,0.27,0.39,0.30,0.26,0.25,0.35,0.30,0.00,240.34,252.02,246.50
12-4-87,0.25,0.33,0.42,0.36,0.30,0.29,0.27,0.35,0.30,-0.17,223.92,247.08,257.07
12-11-87,0.23,0.45,0.32,0.34,0.31,0.29,0.28,0.36,0.31,-0.09,235.32,243.40,250.96
12-18-87,0.33,0.40,0.27,0.34,0.32,0.29,0.28,0.38,0.32,0.06,249.16,252.05,257.63
12-24-87,0.28,0.52,0.20,0.32,0.34,0.27,0.27,0.41,0.34,0.08,252.02,246.50,261.61
12-31-87,0.25,0.49,0.26,0.29,0.36,0.28,0.27,0.44,0.36,-0.01,247.08,257.07,262.46
1-8-88,0.34,0.46,0.20,0.29,0.37,0.27,0.27,0.44,0.37,0.14,243.40,250.96,267.30
1-15-88,0.34,0.40,0.26,0.29,0.38,0.28,0.27,0.44,0.38,0.08,252.05,257.63,264.94
1-22-88,0.21,0.48,0.31,0.28,0.40,0.28,0.27,0.44,0.40,-0.10,246.50,261.61,271.12
1-29-88,0.26,0.45,0.29,0.28,0.40,0.26,0.28,0.46,0.40,-0.03,257.07,262.46,258.51
2-5-88,0.32,0.53,0.15,0.29,0.42,0.24,0.27,0.47,0.42,0.17,250.96,267.30,258.89
2-12-88,0.32,0.46,0.22,0.29,0.43,0.24,0.26,0.47,0.43,0.10,257.63,264.94,269.43
2-19-88,0.27,0.49,0.24,0.29,0.44,0.24,0.26,0.47,0.44,0.03,261.61,271.12,259.77
2-26-88,0.30,0.51,0.19,0.30,0.45,0.23,0.25,0.47,0.45,0.11,262.46,258.51,260.14
3-4-88,0.38,0.40,0.22,0.30,0.45,0.24,0.25,0.47,0.45,0.16,267.30,258.89,261.33
3-11-88,0.43,0.40,0.17,0.31,0.45,0.22,0.25,0.47,0.45,0.26,264.94,269.43,257.48
3-18-88,0.41,0.49,0.10,0.34,0.45,0.20,0.24,0.47,0.45,0.31,271.12,259.77,256.78
3-25-88,0.45,0.38,0.17,0.36,0.46,0.18,0.22,0.46,0.46,0.28,258.51,260.14,253.02
4-1-88,0.35,0.45,0.20,0.36,0.46,0.19,0.22,0.45,0.46,0.15,258.89,261.33,253.42
4-8-88,0.33,0.48,0.19,0.37,0.46,0.19,0.21,0.45,0.46,0.14,269.43,257.48,266.45
4-15-88,0.23,0.53,0.24,0.36,0.46,0.19,0.21,0.46,0.46,-0.01,259.77,256.78,271.26
4-22-88,0.23,0.57,0.20,0.35,0.47,0.19,0.21,0.46,0.47,0.03,260.14,253.02,270.68
4-29-88,0.22,0.48,0.30,0.33,0.47,0.20,0.22,0.47,0.47,-0.08,261.33,253.42,273.78
5-6-88,0.38,0.42,0.20,0.33,0.47,0.20,0.21,0.48,0.47,0.18,257.48,266.45,271.78
5-13-88,0.19,0.56,0.25,0.30,0.48,0.22,0.21,0.48,0.48,-0.06,256.78,271.26,270.02
5-20-88,0.23,0.52,0.25,0.27,0.48,0.23,0.21,0.50,0.48,-0.02,253.02,270.68,272.05
5-27-88,0.28,0.52,0.20,0.26,0.48,0.23,0.21,0.51,0.48,0.08,253.42,273.78,263.50
6-3-88,0.26,0.62,0.12,0.25,0.49,0.22,0.20,0.53,0.49,0.14,266.45,271.78,272.02
6-10-88,0.28,0.49,0.23,0.26,0.49,0.22,0.20,0.52,0.49,0.05,271.26,270.02,271.15
6-17-88,0.29,0.50,0.21,0.27,0.49,0.22,0.20,0.51,0.49,0.08,270.68,272.05,262.55
6-24-88,0.33,0.44,0.23,0.28,0.49,0.21,0.20,0.51,0.49,0.10,273.78,263.50,260.24
7-1-88,0.45,0.38,0.17,0.29,0.49,0.21,0.20,0.50,0.49,0.28,271.78,272.02,259.68
7-8-88,0.35,0.50,0.15,0.31,0.49,0.20,0.21,0.50,0.49,0.20,270.02,271.15,264.48
