Date,Bull-Bear Spread,Close,SMA Signal,SMA1,SMA40,Sell Signals,Buy/Sell SMA,Buy Signals
11/6/1987,0.25,250.41,0,250.41,,0,0,0
11/13/1987,0.03,245.64,0,245.64,,0,0,0
11/20/1987,0.2,242,0,242,,0,0,0
11/27/1987,0,240.34,0,240.34,,0,0,0
12/4/1987,-0.17,223.92,0,223.92,,0,0,0
12/11/1987,-0.09,235.32,0,235.32,,0,0,0
12/18/1987,0.06,249.16,0,249.16,,0,0,0
12/24/1987,0.08,252.02,0,252.02,,0,0,0
12/31/1987,-0.01,247.08,0,247.08,,0,0,0
1/8/1988,0.14,243.4,0,243.4,,0,0,0
1/15/1988,0.08,252.05,0,252.05,,0,0,0
1/22/1988,-0.1,246.5,0,246.5,,0,0,0
1/29/1988,-0.03,257.07,0,257.07,,0,0,0
2/5/1988,0.17,250.96,0,250.96,,0,0,0
2/12/1988,0.1,257.63,0,257.63,,0,0,0
2/19/1988,0.03,261.61,0,261.61,,0,0,0
2/26/1988,0.11,262.46,0,262.46,,0,0,0
3/4/1988,0.16,267.3,0,267.3,,0,0,0
3/11/1988,0.26,264.94,0,264.94,,0,0,0
3/18/1988,0.31,271.12,0,271.12,,0,0,0
3/25/1988,0.28,258.51,0,258.51,,0,0,0
4/1/1988,0.15,258.89,0,258.89,,0,0,0
4/8/1988,0.14,269.43,0,269.43,,0,0,0
4/15/1988,-0.01,259.77,0,259.77,,0,0,0
4/22/1988,0.03,260.14,0,260.14,,0,0,0
4/29/1988,-0.08,261.33,0,261.33,,0,0,0
5/6/1988,0.18,257.48,0,257.48,,0,0,0
5/13/1988,-0.06,256.78,0,256.78,,0,0,0
5/20/1988,-0.02,253.02,0,253.02,,0,0,0
5/27/1988,0.08,253.42,0,253.42,,0,0,0
6/3/1988,0.14,266.45,0,266.45,,0,0,0
6/10/1988,0.05,271.26,0,271.26,,0,0,0
6/17/1988,0.08,270.68,0,270.68,,0,0,0
6/24/1988,0.1,273.78,0,273.78,,0,0,0
7/1/1988,0.28,271.78,0,271.78,,0,0,0
7/8/1988,0.2,270.02,0,270.02,,0,0,0
7/15/1988,-0.11,272.05,0,272.05,,0,0,0
7/22/1988,-0.1,263.5,0,263.5,,0,0,0
7/29/1988,0,272.02,0,272.02,,0,0,0
8/5/1988,-0.09,271.15,0,271.15,257.80975,0,0,0
8/12/1988,0,262.55,0,262.55,258.11325,0,0,0
8/19/1988,-0.09,260.24,0,260.24,258.47825,0,0,0
8/26/1988,-0.04,259.68,0,259.68,258.92025,0,0,0
9/2/1988,-0.21,264.48,0,264.48,259.52375,0,0,0
9/9/1988,-0.14,266.84,0,266.84,260.59675,0,0,0
9/16/1988,-0.06,270.65,0,270.65,261.48,0,0,0
9/23/1988,-0.07,269.76,0,269.76,261.995,0,0,0
9/30/1988,-0.04,271.91,0,271.91,262.49225,0,0,0
10/7/1988,-0.25,278.07,0,278.07,263.267,0,1,1
10/14/1988,-0.1,275.5,0,275.5,264.0695,0,0,0
10/21/1988,0.03,283.66,0,283.66,264.85975,0,0,0
10/28/1988,0.18,278.53,0,278.53,265.6605,0,0,0
11/4/1988,0.16,276.31,0,276.31,266.1415,0,0,0
11/11/1988,0.02,267.92,0,267.92,266.5655,0,0,0
11/18/1988,-0.06,266.47,0,266.47,266.7865,0,0,0
11/25/1988,-0.22,267.23,0,267.23,266.927,0,0,0
12/2/1988,-0.15,271.81,0,271.81,267.16075,0,0,0
12/9/1988,-0.22,277.03,0,277.03,267.404,0,0,0
12/16/1988,0.02,276.29,0,276.29,267.68775,0,0,0
12/23/1988,-0.1,277.87,0,277.87,267.8565,0,0,0
12/30/1988,0.02,277.72,0,277.72,268.33675,0,0,0
1/6/1989,0.03,280.67,0,280.67,268.88125,0,0,0
1/13/1989,0.16,283.87,0,283.87,269.24225,0,0,0
1/20/1989,0.19,286.63,0,286.63,269.91375,0,0,0
1/27/1989,0.13,293.82,0,293.82,270.75575,0,0,0
2/3/1989,0.1,296.97,0,296.97,271.64675,0,0,0
2/10/1989,0.17,292.02,0,292.02,272.51025,0,0,0
2/17/1989,0.25,296.76,0,296.76,273.50975,0,0,0
2/24/1989,0.03,287.13,0,287.13,274.3625,0,0,0
3/3/1989,-0.07,291.18,0,291.18,275.3065,0,0,0
3/10/1989,-0.22,292.88,0,292.88,275.96725,0,0,0
3/17/1989,-0.01,292.69,0,292.69,276.503,0,0,0
3/23/1989,-0.01,288.98,0,288.98,276.9605,0,0,0
3/31/1989,-0.22,294.87,0,294.87,277.48775,0,0,0
4/7/1989,-0.09,297.16,0,297.16,278.12225,0,0,0
4/14/1989,-0.08,301.36,0,301.36,278.90575,0,0,0
4/21/1989,-0.07,309.61,0,309.61,279.84475,0,0,0
4/28/1989,0.02,309.64,0,309.64,280.99825,0,0,0
5/5/1989,0,307.61,0,307.61,281.888,0,0,0
5/12/1989,0.19,313.84,0,313.84,282.95525,0,0,0
5/19/1989,0.24,321.24,0,321.24,284.4225,0,0,0
5/26/1989,0.27,321.59,0,321.59,285.95625,0,0,0
6/2/1989,0.11,325.52,0,325.52,287.60225,0,0,0
6/9/1989,0.2,326.69,0,326.69,289.1575,0,0,0
6/16/1989,0.01,321.35,0,321.35,290.52025,0,0,0
6/23/1989,-0.12,328,0,328,291.954,0,0,0
6/30/1989,0.14,317.98,0,317.98,293.1595,0,0,0
7/7/1989,0.06,324.91,0,324.91,294.4845,0,0,0
7/14/1989,-0.26,331.84,0,331.84,295.82875,0,0,1
7/21/1989,0.03,335.9,0,335.9,297.33875,0,0,0
7/28/1989,0.07,342.15,0,342.15,298.801,0,0,0
8/4/1989,0,343.92,0,343.92,300.43575,0,0,0
8/11/1989,0.27,344.74,0,344.74,302.1465,0,0,0
8/18/1989,-0.02,346.03,0,346.03,304.09925,0,0,0
8/25/1989,0.14,350.52,0,350.52,306.2005,0,0,0
9/1/1989,-0.02,353.73,0,353.73,308.363,0,0,0
9/8/1989,-0.1,348.76,0,348.76,310.28675,0,0,0
