capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
6/25/2015,189.8563,,,0,,0,0,,526.7141517
6/26/2015,189.9196,,,0,0,0,0,,526.7141517
6/29/2015,185.9113,,,0,0,0,0,,526.7141517
6/30/2015,186.2913,,,0,0,0,0,,526.7141517
7/1/2015,187.8114,,,0,0,0,0,,526.7141517
7/2/2015,187.5852,,,0,0,0,0,,526.7141517
7/6/2015,186.9971,,,0,0,0,0,,526.7141517
7/7/2015,188.2095,,,0,0,0,0,,526.7141517
7/8/2015,185.0608,,,0,0,0,0,,526.7141517
7/9/2015,185.3051,,,0,0,0,0,,526.7141517
7/10/2015,187.73,,,0,0,0,0,,526.7141517
7/13/2015,189.7929,,,0,0,0,0,,526.7141517
7/14/2015,190.6616,,,0,0,0,0,,526.7141517
7/15/2015,190.5801,,,0,0,0,0,,526.7141517
7/16/2015,192.064,,,0,0,0,0,,526.7141517
7/17/2015,192.245,,,0,0,0,0,,526.7141517
7/20/2015,192.3807,,,0,0,0,0,,526.7141517
7/21/2015,191.6026,,,0,0,0,0,,526.7141517
7/22/2015,191.1773,,,0,0,0,0,,526.7141517
7/23/2015,190.1368,,,0,0,0,0,,526.7141517
7/24/2015,188.1462,,,0,0,0,0,,526.7141517
7/27/2015,187.0604,,,0,0,0,0,,526.7141517
7/28/2015,189.3858,,,0,0,0,0,,526.7141517
7/29/2015,190.7068,,,0,0,0,0,,526.7141517
7/30/2015,190.752,,,0,0,0,0,,526.7141517
7/31/2015,190.4173,,,0,0,0,0,,526.7141517
8/3/2015,189.7658,,,0,0,0,0,,526.7141517
8/4/2015,189.3948,,,0,0,0,0,,526.7141517
8/5/2015,190.1006,,,0,0,0,0,,526.7141517
8/6/2015,188.5172,,,0,0,0,0,,526.7141517
8/7/2015,188.1281,,,0,0,0,0,,526.7141517
8/10/2015,190.5801,,,0,0,0,0,,526.7141517
8/11/2015,188.7976,,,0,0,0,0,,526.7141517
8/12/2015,189.0329,,,0,0,0,0,,526.7141517
8/13/2015,188.8338,,,0,0,0,0,,526.7141517
8/14/2015,189.431,,,0,0,0,0,,526.7141517
8/17/2015,190.5168,,,0,0,0,0,,526.7141517
8/18/2015,189.9468,,,0,0,0,0,,526.7141517
8/19/2015,188.4538,,,0,0,0,0,,526.7141517
8/20/2015,184.5903,,,0,0,0,0,,526.7141517
8/21/2015,178.8176,,,0,0,0,0,,526.7141517
8/24/2015,171.5067,,,0,0,0,0,,526.7141517
8/25/2015,169.4076,,,0,0,0,0,,526.7141517
8/26/2015,176.1484,,,0,0,0,0,,526.7141517
8/27/2015,180.202,,,0,0,0,0,,526.7141517
8/28/2015,180.2743,,,0,0,0,0,,526.7141517
8/31/2015,178.7362,,,0,0,0,0,,526.7141517
9/1/2015,173.5154,,,0,0,0,0,,526.7141517
9/2/2015,176.8089,,,0,0,0,0,,526.7141517
9/3/2015,177.0261,,,0,0,0,0,,526.7141517
9/4/2015,174.2574,,,0,0,0,0,,526.7141517
9/8/2015,178.6638,,,0,0,0,0,,526.7141517
9/9/2015,176.2208,,,0,0,0,0,,526.7141517
9/10/2015,177.207,,,0,0,0,0,,526.7141517
9/11/2015,178.0123,,,0,0,0,0,,526.7141517
9/14/2015,177.3247,,,0,0,0,0,,526.7141517
9/15/2015,179.5595,,,0,0,0,0,,526.7141517
